,scene_name,img_a_idx,img_b_idx,is_valid,is_valid_masked,norm_diff_descriptor_ground_truth,norm_diff_descriptor,norm_diff_descriptor_masked,norm_diff_ground_truth_3d,norm_diff_pred_3d,norm_diff_pred_3d_masked,pixel_match_error_l2,pixel_match_error_l2_masked,pixel_match_error_l1,fraction_pixels_closer_than_ground_truth,fraction_pixels_closer_than_ground_truth_masked,average_l2_distance_for_false_positives,average_l2_distance_for_false_positives_masked
0,shirt_hanging,cam2-256-119,cam0-0-0,,,,,,,,,250.52145616693193,250.52145616693193,349.0,0.07762442129629629,0.46263528450809266,288.38971127856433,287.5487296218911
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,13.0,13.0,17.0,0.003208912037037037,0.019319382419006863,232.49911208352677,232.62282832263438
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,67.26812023536856,67.26812023536856,95.0,0.052905092592592594,0.313789031633713,122.70286218919591,123.31343605498853
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,91.0823802938856,91.0823802938856,104.0,0.02829571759259259,0.1685562845702414,106.26698747725496,106.69493971395211
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,92.13576938409967,92.13576938409967,123.0,0.06430410879629629,0.38056342279793665,158.51081338156465,158.41487363970654
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,30.265491900843113,30.265491900843113,34.0,0.0017780671296296297,0.010769490291477632,107.55414062426792,106.38009862528509
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,84.0535543567314,84.0535543567314,87.0,0.046861979166666665,0.28478332282723534,124.81910654751361,124.24503979019487
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,45.5411901469428,45.5411901469428,58.0,0.040224247685185184,0.2394147363561301,127.16193270735705,126.7747812570022
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,49.49747468305833,49.49747468305833,56.0,0.008780381944444445,0.05140589347704492,85.2541346556572,85.61794540413628
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,101.6366075781753,101.6366075781753,122.0,0.0115234375,0.07038789697513162,153.28298455809102,153.2403440985928
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,49.24428900898052,49.24428900898052,65.0,0.01953559027777778,0.11818028464126855,161.07779905804682,160.66704626705265
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,27.16615541441225,27.16615541441225,30.0,0.01380931712962963,0.08165457725533369,84.43379710111807,85.13583502960836
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,45.79301256742124,45.79301256742124,63.0,0.01380787037037037,0.08165457725533369,82.49352148379793,83.10123307217403
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,117.5457357797381,117.5457357797381,135.0,0.0474291087962963,0.2819511155700372,125.47978685373873,126.09324868542302
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,109.16501271011697,109.16501271011697,115.0,0.04217158564814815,0.251977661964078,137.36060672348376,137.48697000141425
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,91.35097153287424,91.35097153287424,99.0,0.047893518518518516,0.29137996857049,131.766240456901,131.25143261086663
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,60.13318551349163,60.13318551349163,64.0,0.028411458333333334,0.17150391093196488,118.50527055983308,117.79320649541216
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,21.633307652783937,21.633307652783937,30.0,0.006666666666666667,0.03795512860351762,438.8559681479477,441.12664133855725
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,5.0990195135927845,5.0990195135927845,6.0,0.0010243055555555556,0.006285902000301866,475.42044337836955,475.42044337836955
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,65.5133574166368,65.5133574166368,90.0,0.029184027777777777,0.17557909316097414,157.42768481418676,156.9085707687201
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,102.20078277586722,102.20078277586722,127.0,0.053464988425925924,0.31750907815649054,151.2356630394021,151.29122175803514
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,101.78899744078434,101.78899744078434,141.0,0.06424189814814815,0.3789297985492706,160.6370362991175,160.51818888288452
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,50.039984012787215,50.039984012787215,52.0,0.00882523148148148,0.05202738096295047,86.96307980986732,87.17585778443829
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,32.01562118716424,32.01562118716424,33.0,0.014930555555555556,0.090932497580638,170.70616309815213,170.89159970713678
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,44.94441010848846,44.94441010848846,62.0,0.02191550925925926,0.13076984542718387,99.84459509352895,100.51038170238647
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,44.9221548904324,44.9221548904324,56.0,0.01837384259259259,0.0912254845382792,371.28204843798227,373.7123048974169
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,24.08318915758459,24.08318915758459,26.0,0.014075520833333334,0.0842825814814486,216.50811069002845,216.5842535920574
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,13.038404810405298,13.038404810405298,14.0,0.0030830439814814813,0.018680138147789724,416.29497221218026,416.9170220312552
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,70.34912934784623,70.34912934784623,77.0,0.023634259259259258,0.1409711185886907,108.09518949402732,108.06444501381074
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,72.27724399837061,72.27724399837061,88.0,0.03000289351851852,0.18308133495511972,100.87974230422203,100.56791151226136
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,17.72004514666935,17.72004514666935,22.0,0.008428819444444444,0.04756154945708629,79.90198388783992,78.59234692242164
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,37.48332962798263,37.48332962798263,53.0,0.013784722222222223,0.07981674997558443,261.97858391481844,262.34106930046744
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,44.94441010848846,44.94441010848846,58.0,0.019348958333333333,0.11124625997709375,75.81439693033353,74.30099532397958
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,88.81441324469807,88.81441324469807,100.0,0.03247829861111111,0.19500501629185052,107.99032778400394,108.1216233767222
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,83.15046602394962,83.15046602394962,88.0,0.03848090277777778,0.23447835003950884,115.1046701661123,114.62046263408817
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,66.30987860040162,66.30987860040162,87.0,0.01384548611111111,0.08437136540800654,169.42054674922102,169.2823359307651
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,25.45584412271571,25.45584412271571,36.0,0.01283275462962963,0.06697859419530688,388.0948103501725,390.12156495686224
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,74.14849964766651,74.14849964766651,86.0,0.033833912037037034,0.2059698312217556,106.8018099135669,106.27745793709265
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,15.297058540778355,15.297058540778355,18.0,0.000988136574074074,0.005477968268624648,95.54174707424158,104.12947381435657
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,42.190046219457976,42.190046219457976,46.0,0.016119791666666668,0.08343913417914821,371.5783478758917,376.5588001890352
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,112.53888216967503,112.53888216967503,137.0,0.0180078125,0.10980796036685518,159.55879807672312,159.40712011751296
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,122.09013064126027,122.09013064126027,156.0,0.03523003472222222,0.21025809487450392,107.32803338626802,108.55601580831951
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,34.66987164671943,34.66987164671943,48.0,0.020787037037037038,0.12275265685900225,102.69776882916402,103.30496103003182
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,63.12685640834652,63.12685640834652,89.0,0.04588975694444444,0.2720960997221063,115.66498993924282,116.57215623310746
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,33.24154027718932,33.24154027718932,41.0,0.013433159722222223,0.0759724059556258,325.5382663279575,329.1627539033824
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,108.07404868885037,108.07404868885037,112.0,0.03954861111111111,0.2366446778475225,121.78727839581308,121.96930260887872
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,111.07204868912791,111.07204868912791,115.0,0.0421412037037037,0.25020198343291933,129.03476726273132,129.43089334683705
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,60.37383539249432,60.37383539249432,81.0,0.05706886574074074,0.33855974714337717,140.42074273275438,140.2051098976212
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,7.810249675906654,7.810249675906654,11.0,0.0017607060185185184,0.010733976720854457,429.7164097424805,429.2296743851687
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,497.74893269599283,489.47012166219093,702.0,0.0017896412037037037,0.007093835731979082,425.38368054188726,398.80498710148095
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,63.245553203367585,63.245553203367585,80.0,0.05104890046296296,0.30353448811627143,131.96146748081358,131.69830889528933
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,106.21205204683694,106.21205204683694,121.0,0.01765335648148148,0.10774817327071107,147.54384825839597,147.41859626908172
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,11.0,11.0,11.0,0.002994791666666667,0.017419406390667035,71.25846196528633,73.51947464110523
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,38.01315561749642,38.01315561749642,53.0,0.019859664351851852,0.1189260696243552,194.02938418296628,193.4970853989677
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,99.0,99.0,99.0,0.04597945601851852,0.2739339270018556,128.0874580207071,128.31695504021727
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,95.60334722173695,95.60334722173695,118.0,0.03381221064814815,0.2023740821961592,102.40188335299268,102.99447828305817
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,84.8528137423857,84.8528137423857,96.0,0.05913917824074074,0.3578081024211377,140.23870622012856,139.5423822706816
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,24.515301344262525,24.515301344262525,29.0,0.0026099537037037037,0.016016620351051645,44.89585966850088,44.89585966850088
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,42.720018726587654,42.720018726587654,53.0,0.008246527777777778,0.04986105315493683,209.38291112945024,208.6828911766995
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,99.00505037623081,99.00505037623081,100.0,0.039704861111111114,0.23666243463283407,123.3824640187568,123.66258621664505
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,110.86027241532469,110.86027241532469,144.0,0.12969328703703703,0.7265277494162456,241.28044517058518,237.16384169663755
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,92.28217596047462,92.28217596047462,126.0,0.004671585648148148,0.02866832988555752,58.758584010890516,58.758584010890516
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,21.633307652783937,21.633307652783937,30.0,0.005043402777777778,0.030950076798096474,48.62934491059085,48.62934491059085
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,36.6742416417845,36.6742416417845,49.0,0.025053530092592594,0.14841121163424573,109.7946581628264,110.56230961173495
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,39.824615503479755,39.824615503479755,56.0,0.028663194444444446,0.17183241146022923,155.61657438371495,155.41356628664295
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,34.52535300326414,34.52535300326414,40.0,0.001121238425925926,0.006774213596370513,490.14828936184887,487.7832748338986
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,30.886890422961002,30.886890422961002,42.0,0.003627025462962963,0.022009535393712323,293.3744068003776,295.62685295936336
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,87.31551981177229,87.31551981177229,112.0,0.01220775462962963,0.07491587722958636,97.97953439565615,97.97953439565615
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,50.80354318352215,50.80354318352215,71.0,0.05623842592592593,0.3336855095753465,147.76139826760613,147.38245540370198
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,42.44997055358225,42.44997055358225,52.0,0.008211805555555556,0.049301714417621836,218.20102100381197,217.01936019270715
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,110.11357772772621,110.11357772772621,115.0,0.045911458333333335,0.2737741159340513,137.0283309395101,137.20931464867593
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,49.57822102496216,49.57822102496216,70.0,0.05210503472222222,0.3096339438708016,143.02096440861757,142.5900828762208
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,96.6902270139025,96.6902270139025,113.0,0.01879484953703704,0.11469995472019745,144.07688489714715,143.96128682360347
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,111.40017953306898,111.40017953306898,132.0,0.01978587962962963,0.11759431072598617,104.80776644484025,105.44168113405374
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,9.219544457292887,9.219544457292887,11.0,0.02104021990740741,0.12911846439320626,120.40684359939956,120.40684359939956
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,8.48528137423857,8.48528137423857,12.0,0.0023350694444444443,0.0140012252181865,448.8716178244432,448.26328174380865
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,61.84658438426491,61.84658438426491,81.0,0.033592303240740744,0.199888132252537,104.78530905480008,105.6325632982065
